ABM 103,Introduction to Agribusiness Management  
LGD 216,Organizational Development in Local Government Units  
LGD 291,Special Topics  
LGD 298,Field Studies  
LGD 299,Graduate Seminar  
MATH 101,Logic and Set Theory  
MATH 103,Elementary Theory of Numbers  
MATH 11,College Algebra  
MATH 110,Higher Algebra  
MATH 111,Modern Algebra I  
MATH 112,Modern Algebra II  
MATH 120,Linear Algebra  
MATH 133,Non-Euclidean Geometries  
MATH 135,Projective Geometry  
MATH 14,Plane Trigonometry  
MATH 141,Introductory Combinatorics  
MATH 143,Graph Theory  
MATH 151,Ordinary Differential Equations  
MATH 152,Partial Differential Equations  
MATH 155,Advanced Calculus I  
MATH 156,Advanced Calculus II  
MATH 160,Vector Analysis  
MATH 165,Complex Analysis I  
MATH 166,Complex Analysis II  
MATH 168,Introductory Topology  
MATH 17,Algebra and Trigonometry  
MATH 170,Finite Differences  
MATH 174,Numerical Analysis I  
MATH 175,Numerical Analysis II  
MATH 18,College Geometry  
MATH 181,Introduction to Probability Theory  
MATH 182,Introduction to Stochastic Processes  
MATH 190,Special Problems  
MATH 191,Special Topics  
MATH 192,Foundations of Mathematics  
MATH 199,Undergraduate Seminar  
MATH 211,Abstract Algebra   
MATH 213,Theory of Matrices  
MATH 222,Finite Geometrics  
MATH 225,Topology  
MATH 230,Real Analysis  
MATH 231,Functions of a Complex Variable  
MATH 26,Analytic Geometry and Calculus I  
MATH 27,Analytic Geometry and Calculus II  
MATH 28,Analytic Geometry and Calculus III  
MATH 290,Special Problems  
MATH 291,Special Topics  
MATH 299,Graduate Seminar  
MATH 300,Master’s Thesis  
MATH 36,Mathematical Analysis I  
MATH 37,Mathematical Analysis II  
MATH 38,Mathematical Analysis III  
MATH I,Mathematics for General Education  
MBB 211,Biocomputing in Molecular Biology and Biotechnology  
MBB 240,Industrial Biotechnology  
MBB 290,Special Problems  
MBB 291,Special Topics  
MBB 299,Graduate Seminar  
MBB 300,Master's Thesis  
MCB 1,General Microbiology  
MCB 101,Advanced Microbiology  
MCB 102,General Virology  
MCB 120,Microbial Physiology  
MCB 130,Microbial Genetics  
MCB 150,Microbial Ecology  
MCB 160,Industrial Microbiology  
MCB 180,Introductory Food Microbiology  
MCB 181,Dairy Microbiology  
MCB 190,Special Problems  
MCB 199,Undergraduate Seminar  
MCB 200,Undergraduate Thesis  
MCB 200a,Practicum  
MCB 201,Advances in Microbiology  
MCB 220,Physiology of Bacteria  
MCB 230,Advanced Microbial Genetics  
MCB 240,Determinative Bacteriology  
MCB 260,Advanced Industrial Microbiology  
MCB 270,Microbial Toxins  
MCB 290,Special Problems  
MCB 291,Special Topics  
MCB 299,Graduate Seminar  
MCB 300,Master’s Thesis  
MCB 400,Doctoral Dissertation  
MGT 1,Introduction to the Enterprise and Entrepreneurship  
MGT 101,Concepts and Dynamics of Management  
MGT 109,Managerial Economics  
MGT 111,Principles of Accounting  
MGT 113,Managerial Accounting  
MGT 115,Introduction to Financial Management  
MGT 117,Investment Management  
MGT 121,Quantitative Business Analysis  
MGT 131,Introduction to Human Relations and Behavior in Organizations  
MGT 133,Personnel Management  
MGT 141,Production Management  
MGT 151,Introduction to Marketing Management  
MGT 155,International Marketing  
MGT 161,Business Law  
MGT 181,Business Policy  
MGT 201,Organization and Management  
MGT 203,Environment of Management  
MGT 207,Managerial Problem Solving and Decision-Making  
MGT 209,Economic Analysis  
MGT 213,Management Accounting and Control I  
MGT 215,Financial Management  
MGT 221,Quantitative Methods in Administration  
MGT 231,Human Behavior in Organization  
MGT 251,Marketing Management  
MGT 273,Management of Small Business  
MGT 281,Business Policy  
NASC I,Foundation of Natural Sciences I  
NASC II,Foundations of Natural Sciences II  
PA 242.1,Methods of Policy Analysis  
PAf 201,Political Economy of Public Affairs  
PAf 203,Data Analysis and Modeling for Public Affairs  
PAf 204,Ethics in Public Affairs  
PE 1,Foundations of Physical Fitness  
PE 2,Elective Physical Education Activities for Beginners  
PE 3,Elective Physical Education Activities for Intermediate Students  
PGR 261,Assessment of Genetic Diversity in Plants  
PGR 262,Plant Genetic Resources Conservation and Management  
PGR 263,Plant Genetic Resources Documentation and Information Management  
PGR 299,Graduate Seminar  
PGR 300,Master’s Thesis  
PHI I,Philippine History and Institution  
PHLO 100,Mathematical Logic I  
PHLO 102,Mathematical Logic II  
PHLO 110,Ancient Philosophy  
PHLO 111,Medieval Philosophy  
PHLO 112,Modern Philosophy  
PHLO 113,Contemporary Philosophy  
PHLO 120,Philosophical Reasoning  
PHLO 125,Indian Philosophy  
PHLO 126,Chinese Philosophy  
PHLO 150,Epistemology  
PHLO 160,Philosophy of Science  
PHLO 171,Ethics  
PHLO 172,Philosophy of Religion  
PHLO 173,Practical Ethics  
PHLO 174,Biomedical Ethics  
PHLO 175,Philosophy of Law  
PHLO 176,Social and Political Philosophy  
PHLO 181,Aesthetics  
PHLO 182,Philosophy and Semiotics  
PHLO 184,Feminist Philosophy  
PHLO 190,Directed Study  
PHLO 195,Philosophy of Language  
PHLO 197,Philosophic Problems  
PHLO 200,Undergraduate Thesis  
PHLO 9,Logic  
PHLO A,Ethics for Various Professions  
PHLO I,Philosophical Analysis  
PHYS 1,Introductory Physics  
PHYS 111,Mathematical Physics I  
PHYS 112,Mathematical Physics II  
PHYS 115,Computational Physics  
PHYS 121,Theoretical Mechanics I  
PHYS 122,Theoretical Mechanics II  
PHYS 13,General Physics II  
PHYS 131,Electromagnetic Theory I  
PHYS 132,Electromagnetic Theory II  
PHYS 151,Statistical and Thermal Physics  
PHYS 160,Structure of Matter  
PHYS 170,Solid State Physics  
PHYS 191,Special Topics  
PHYS 192,Experimental Physics  
PHYS 23,Optics and Modern Physics  
PHYS 3,General Physics I  
PHYS 71,Elementary Physics I  
PHYS 72,Elementary Physics II  
PHYS 73,Elementary Physics III  
PHYS 81,Fundamental Physics I  
PHYS 82,Fundamental Physics II  
PHYS 83,Fundamental Physics III  
PI 100,The Life and Works of Jose Rizal  
POSC 10,Principles of Government and Politics  
POSC 112,Politics of Development  
POSC 14,Philippine Government and Politics  
POSC 141,Contemporary Ideologies  
POSC 161,Political Parties and Interest Groups  
POSC 165,Contemporary Philippine Politics  
PPT 148,Instrumentation and Process Control for the Pulp and Paper Industry  
PPT 165,Pulp and Paper Engineering  
PPT 167,Pulp and Paper Plant Design  
PPT 188,Environmental Technology for the Pulp and Paper Industry  
PPT 199,Undergraduate Seminar  
PPT 200,Undergraduate Thesis  
PPT 200a,Practicum  
PPT B,Postharvest Technology for Perishable Crops in the Tropics  
PPT C,Post Production Technology of Cereals, Legumes and Plantation Crops  
PPTH 101,Principles of Plant Pathology  
PPTH 102,Control of Plant Diseases  
PPTH 103,Introductory Phytobacteriology  
PPTH 104,General Mycology  
PPTH 106,Principles of Phytonematology  
PPTH 111,Plant Disease Diagnosis  
PPTH 112,Biological Control of Plant Pathogens  
PPTH 114,Introduction to Fungal Plant Pathogens  
PPTH 115,Introductory Plant Virology  
PPTH 121,Postharvest Pathology  
PPTH 131,Research in Plant Pathology  
PPTH 141,Principles of Plant Disease Epidemiology  
PPTH 190,Special Problems  
PPTH 191,Special Topics  
PPTH 199,Undergraduate Seminar  
PPTH 200,Undergraduate Thesis  
PPTH 200a,Major Practice  
PPTH 201,Pathogenesis  
PPTH 202,Advanced Course in Plant Disease Control  
PPTH 204,Advanced Mycology 1  
PPTH 206,Advanced Phytonematology  
PPTH 212,Disease Resistance in Plants  
PPTH 214,Advanced Mycology II  
PPTH 215,Advanced Plant Virology  
PPTH 216,Taxonomy of Plant Parasitic Nematodes  
PPTH 218,Physiology of Plant Pathogenic Fungi  
PPTH 224,Advanced Taxonomy of Fungi  
PPTH 241,Advanced Plant Disease Epidemiology  
PPTH 290,Special Problems  
PPTH 291,Special Topics  
PPTH 299,Graduate Seminar  
PPTH 300,Master’s Thesis  
PPTH 400,Doctoral Dissertation  
PSY 10,General Principles of Psychology  
PSY 101,Filipino Psychology  
PSY 148,Cognitive Psychology  
PSY 155,Abnormal Psychology  
RDM A,Overview of Research and Development Management  
RDM B,Support System for Research  
RDM C,Organizational Structures, Relations and Processes in Research Systems  
RDM D,Research Project Planning, Implementation and Control  
RDM E,Technology Evaluation and Utilization  
RDM F,Research and Development Management Internship  
SDS 10,Introduction to Social Development  
SDS 11,Community Study in Human Welfare  
SDS 113,Filipino Values and Social Development  
SDS 120,Techniques in Community Organizing  
SDS 131,Adult Programs in Homemaking  
SDS 30,Design and Management of Training Programs  
SDS 31,Community Services and Programs  
SDS 32,Consumer Education  
SFFG 101,Principles and Concepts of Social Forestry  
SFFG 102,Communication Process  
SFFG 105,Transfer and Utilization of Forestry Technology  
SFFG 111,Forest Conservation  
SFFG 112,Program Planning  
SFFG 113,Forestry Extension  
SFFG 133,Socio-Economics of Agroforestry  
SFFG 141,Formal Organizations in Social Forestry  
SFFG 144,Evaluation Methods in Social Forestry  
SFFG 149,Gender Analysis and Planning  
SFFG 150,Production and Conservation Technologies in Social Forestry  
SFFG 152,Sociology of Natural Resources  
SFFG 155,Social Equity Issues in Social Forestry  
SFFG 163,Anthropological Concepts for Social Forestry  
SFFG 182,Rural Institutions for Forestry and Natural Resource Development  
SFFG 190,Special Problem  
SFFG 197,Anthropological Research Methods in Forestry and other Natural Resources Development  
SFFG 199,Undergraduate Seminar  
SFFG 20,Communication Skills for Forestry Technicians  
SFFG 200,Undergraduate Thesis  
SFFG 200a,Practicum in Social Forestry  
SFFG 80,Forest Community Development  
SFI 10,Elementary Forest Soil Conservation  
SFI 100,Geology and Forest Soils  
SFI 101,Forest Soils  
SFI 102,Forest Soil and Water Conservation  
SFI 120,Silviculture 1  
SFI 121,Silviculture 2  
SFI 122,Arboriculture and Landscape Gardening  
SFI 123,Fundamentals of Agroforestry  
SFI 124,Silviculture of Non-Timber Producing Plant Species  
SFI 131,Silvicultural Approaches to Forest Protection  
SFI 133,Agroforestry Systems of the Philippines  
SFI 141,Forest Tree Improvement  
SFI 143,Agroforestry System Design and Development  
SFI 152,Forest Tree Seeds  
SFI 161,Introduction to Forest Influences  
SFI 168,Environmental Impact Assessment of Natural Resource Management Projects  
SFI 171,Silvics  
SFI 172,Forest Fire Management  
SFI 182,Forestation Techniques for Marginal and Degraded Areas  
SFI 200,Undergraduate Thesis  
SFI 200a,Practicum in Silviculture and Agroforestry  
SFI 201,Advanced Forest Soils  
SFI 221,Advanced Nursery and Plantation Techniques  
SFI 223,Advanced Silviculture  
SFI 241,Advanced Forest Tree Improvement  
SFI 261,Forest Influences  
SFI 271,Advanced Silvics  
SFI 290,Special Problems  
SFI 291,Special Topics  
SFI 299,Graduate Seminar  
SFI 30,Forest Nurseries  
SFI 31,Elementary Silviculture  
SLT A,Properties and Management of Soils  
SLT B,Soil Fertility and Conservation  
SLT C,Soil Resources Inventory  
SOC 10,General Principles of Sociology  
SOC 100,Social Organization  
SOC 105,Social Stratification  
SOC 107,Gender Relations  
SOC 110,Sociology of the Family  
SOC 112,Sociology of Politics  
SOC 114,Sociology of Economic Life  
SOC 115,Social Gerontology  
SOC 116,Sociology of Religion  
SOC 119,Industrial Sociology  
SOC 120,Urban Sociology  
SOC 129,Race and Ethnic Relations   
SOC 130,Social Psychology  
SOC 135,Attitudes and Persuasion  
SOC 140,Introduction to Demography  
SOC 150,Sociological Theories  
SOC 160,Social Change  
SOC 165,Sociology of Development  
SOC 170,Social Problems  
SOC 175,Deviance  
SOC 180,Collective Behavior  
SOC 198,Methods of Social Research  
SOC 200,Undergraduate Thesis  
SOC 200a,Practicum  
SOC 205,Formal Organizations  
SOC 212,Sociology of Power  
SOC 230,Social Influence  
SOC 235,Attitudes and Attitude Change  
SOC 240,Population Dynamics  
SOC 245,Demographic Methods  
SOC 250,Advanced Sociological Theories  
SOC 260,Technology Assessment and Impact Analysis  
SOC 290,Special Problems  
SOC 291,Special Topics  
SOC 292,Qualitative Social Research  
SOC 295,Survey Research  
SOC 299,Graduate Seminar  
SOC 300,Masters Thesis  
SOIL 1,Principles of Soil Science  
SOIL 10,Agricultural Geology  
SOIL 110,Soil Survey and Classification  
SOIL 111,Soil and Land Use  
SOIL 120,Soil Microbiology  
SOIL 130,Soil Physics  
SOIL 140,Soil Chemistry  
SOIL 141,Mineral Composition of Soils  
SOIL 142,Fertilizers and their Reaction with the Soil  
SOIL 150,Soil Fertility  
SOIL 151,Soil Fertility Evaluation  
SOIL 160,Aerial Photo Interpretation for Land Use  
SOIL 170,Soil Conservation and Management  
SOIL 190,Special Problems  
SOIL 191,Special Topics  
SOIL 199,Undergraduate Seminar  
SOIL 200,Undergraduate Thesis  
SOIL 200a,Major Practice  
SOIL 210,Morphology, Genesis, and Geography of Soils  
SOIL 221,Advanced Soil Microbiology  
SOIL 230,Advanced Soil Physics  
SOIL 240,Advanced Soil Chemistry  
SOIL 250,Advanced Soil Fertility  
SOIL 260,Environment and Land Use  
SOIL 290,Special Problems  
SOIL 291,Special Topics  
SOIL 299,Graduate Seminar in Soil Science  
SOIL 300,Master’s Thesis  
SOIL 400,Doctoral Dissertation  
SOSC 100,Current Issues in Philippine Social and Political Life  
SOSC A,Personality and Social Development  
SOSC I,Foundations of Behavioral Sciences  
SOSC II,Social, Economic and Political Thought  
SPAN 12,Intermediate Spanish  
SPAN 13,Intermediate Spanish  
SPAN I,Elementary Spanish  
SPAN II,Elementary Spanish  
SPCM 101,Rhetoric  
SPCM 102,Voice and Diction  
SPCM 103,Oral Interpretation  
SPCM 104,Occasional Speeches  
SPCM 105,Philippine Public Address  
SPCM 106,Group Discussion and Leadership  
SPCM 107,Communication in Public Relations  
SPEC,Reading in Speculative Thought  
SPPS 201,Strategic Planning: Theory and Methods  
SPPS 291,Special Topics  
SPPS 298,Field Studies  
SPPS 299,Graduate Seminar  
SSA,Science and Society  
STAT 1,Elementary Statistics  
STAT 101,Statistical Methods  
STAT 135,Matrices in Statistics  
STAT 144,Introductory Statistical Theory I  
STAT 145,Introductory Statistical Theory II  
STAT 146,Introductory Statistical Theory III  
STAT 151,Applied Regression and Correlation  
STAT 156,Introductory Time Series Analysis  
STAT 162,Experimental Designs I  
STAT 163,Survey Designs  
STAT 164,Statistics for the Biological Sciences  
STAT 165,Categorical Data Analysis  
STAT 166,Statistics for the Social Sciences  
STAT 167,Statistical Quality Control  
STAT 172,Experimental Designs II  
STAT 173,Survey Operations  
STAT 175,Analysis of Multivariate Data  
STAT 181,Statistical Computing  
STAT 182,Statistical Packages  
STAT 190,Special Problem  
STAT 191,Special Topics  
STAT 198,Practicum  
STAT 199,Undergraduate Seminar  
STAT 235,Mathematics in Statistics  
STAT 241,Statistical Theory I  
STAT 242,Statistical Theory II  
STAT 245,Statistical Decision Theory  
STAT 250,Multivariate Statistical Methods  
STAT 251,Linear Models I  
STAT 252,Linear Models II  
STAT 263,Sampling and Sample Surveys  
STAT 265,Stochastic Processes  
STAT 266,Time Series Analysis I  
STAT 267,Times Series Analysis II  
STAT 290,Special Problems  
STAT 291,Special Topics  
STAT 299,Graduate Seminar  
STAT 300,Master’s Thesis  
STAT 303,Multivariate Statistical Theory  
STAT 341,Theory of Probability  
STAT 342,Statistical Inference  
STAT 363,Sampling Theory of Surveys  
STAT 399,PhD Graduate Seminar  
STAT 400,Doctoral Dissertation  
STAT A,The Philippine Statistical System  
STAT B,Probability and Statistics  
STAT C,Sampling Techniques and Applications  
STAT D,Applied Linear Models  
STAT J,Statistical Computing Procedures in Data Analysis  
STAT K,Statistical Database Management  
STAT L,Elements of Sampling  
STAT M,Introduction to Applied Statistical Quality Control  
STAT N,Analysis of Time Series Data  
STAT O,Applied Multivariate Analysis  
STS,Science, Technology and Society  
SUTC 114,Sugar Process Engineering  
SUTC 120,Plant Design  
SUTC 181,Waste Management in the Sugar Industry  
SUTC 199,Undergraduate Seminar  
SUTC 200,Undergraduate Thesis  
SUTC 200a,Practicum  
THEA 101,History of the Theater  
THEA 102,European Drama I  
THEA 103,European Drama II  
THEA 104,Contemporary Western Drama  
THEA 105,Oriental Drama  
THEA 106,Philippine Theater  
THEA 107,Theater Communication  
THEA 108,Acting  
THEA 109,Directing  
THEA 110,Stagecraft  
THEA 111,Theater Aesthetics  
THEA 112,Play Production Practicum  
THEA 113,Play Production Design  
THEA 114,The Dynamics and Aesthetics of Community Theater  
THEA 115,Drama for Children  
TM 232,Science and Technology Policy  
VETA 101,Macroscopic Anatomy I  
VETA 102,Macroscopic Anatomy II  
VETA 103,Developmental Anatomy  
VETA 104,Microscopic Anatomy  
VETA 201,Advanced Macroscopic Anatomy of the Dog  
VETA 202,Advanced Comparative Anatomy  
VETA 203,Applied Anatomy  
VETA 204,Advanced Microscopic Anatomy  
VETA 205,Neuroanatomy  
VETA 206,Anatomy of Common Laboratory Animals  
VETA 207,Histological and Electron Microscopic Techniques  
VETA 291,Special Topics in Veterinary Anatomy  
VETA 299,Seminar in Veterinary Anatomy  
VETA 300,Master’s Thesis  
VETC 171,Clinical Orientation I  
VETC 172,Clinical Orientation II  
VETC 173,Clinico-Pathological Conference I  
VETC 174,Clinico-Pathological Conference II  
VETC 175,Clinics I  
VETC 176,Clinics II  
VMCB 121,General Microbiology  
VMCB 122,Veterinary Bacteriology and Mycology  
VMCB 123,Veterinary Virology  
VMCB 124,Fundamentals of Immunology  
VMCB 221,Applied Immunology  
VMCB 222,Clinical Microbiology  
VMCB 223,Bacterial and Viral Pathogens of Domestic Animals  
VMCB 224,Veterinary Mycology  
VMCB 225,Advances in Veterinary Immunology  
VMCB 226,Advances in Veterinary Virology  
VMCB 227,Veterinary Anaerobic Bacteriology  
VMCB 228,Pathogenic Enterobacteria  
VMCB 291,Special Topics in Veterinary Microbiology  
VMCB 299,Graduate Seminar in Veterinary Microbiology  
VMCB 300,Master’s Thesis  
VMED 151,General Principles of Veterinary Medicine  
VMED 152,Canine and Feline Medicine  
VMED 153,Ruminant and Equine Medicine  
VMED 154,Poultry and Swine Medicine  
VMED 155,Veterinary Obstetrics  
VMED 156,Jurisprudence, Ethics and Economics  
VMED 157,Wildlife, Fish and Laboratory Animal Medicine  
VMED 195,Methods in Veterinary Research  
VMED 200,Undergraduate Thesis  
VMED 253,Advanced Equine Medicine  
VMED 254,Advanced Swine Medicine  
VMED 255,Advanced Poultry Medicine  
VMED 256,Advanced Ruminant Medicine  
VMED 261,Veterinary Alternative Medicine  
VMED 291,Special Topics in Veterinary Internal Medicine  
VMED 299,Seminar in Veterinary Internal Medicine  
VMED 300,Master’s Thesis  
VPAR 131,Veterinary Entomology and Protozoology  
VPAR 132,Veterinary Helminthology  
VPAR 134,Parasites of Wild Birds and Mammals and Laboratory Animals  
VPAR 135,Parasites of Fishes and Other Aquatic Animals  
VPAR 231,Advanced Veterinary Entomology  
VPAR 232,Advanced Veterinary Helminthology  
VPAR 233,Advanced Veterinary Protozoology  
VPAR 234,Immunology of Parasitic Infections  
VPAR 235,Clinical Parasitology  
VPAR 236,Systematic Helminthology  
VPAR 291,Special Topics in Veterinary Parasitology  
VPAR 299,Graduate Seminar in Veterinary Parasitology  
VPAR 300,Master’s Thesis  
VPH 120,Perspectives in Veterinary Public Health  
VPH 121,Epidemiology  
VPH 122,Zoonoses  
VPH 123,Food Hygiene  
VPH 222,Microbial and Parasitic Zoonoses  
VPH 223,Veterinary Epidemiological Investigation of Foodborne Diseases  
VPH 224,Veterinary Public Health Considerations in Foods of Animal Origin  
VPH 227,Advanced Epidemiology  
VPH 228,Environmental Sanitation in Animal Industries  
VPH 291,Special Topics in Veterinary Public Health  
VPH 298,Practicum  
VPH 299,Graduate Seminar in Veterinary Public Health  
VPH 300,Master’s Thesis  
VPHM 141,Pharmacology and Therapeutics I  
VPHM 142,Pharmacology and Therapeutics II  
VPHM 241,Physiological Disposition of Drugs and Poisons  
VPHM 242,Veterinary Toxicology  
VPHY 141,General Physiology  
VPHY 142,Systemic Physiology  
VPHY 143,Endocrinology and Reproductive Physiology  
VPHY 241,Physiological Biochemistry  
VPHY 242,Animal Cell Physiology  
VPHY 243,Advanced Mammalian Physiology  
VPHY 244,Neurophysiology and Neuroendocrinology  
VPHY 245,Mechanisms of Hormone Action  
VPHY 247,Experimental Physiology  
VPHY 291,Special Topics in Veterinary Physiology  
VPHY 299,Graduate Seminar in Veterinary Physiology  
VPHY 300,Master’s Thesis  
VPTH 121,General Pathology  
VPTH 122,Systemic Pathology  
VPTH 123,Clinical Pathology  
VPTH 124,Special Pathology  
VPTH 221,Biology and Husbandry of Laboratory Animals  
VPTH 222,Veterinary Necropsy  
VPTH 223,Histopathology  
VPTH 224,Clinical Biochemistry  
VPTH 225.1,Comparative Pathology 1  
VPTH 226,Pathology of Microbial Infections  
VPTH 227,Pathology of Parasitic Infections  
VPTH 291,Special Topics in Veterinary Pathology  
VPTH 299,Seminar in Veterinary Pathology  
VPTH 300,Master’s Thesis  
VSUR 151,Principles of Surgery  
VSUR 152,Small Animal Surgery  
VSUR 153,Large Animal Surgery  
VSUR 154,Elementary Radiology  
VSUR 155,Lameness in Horses and Racetrack Practice  
VSUR 251,Veterinary Anesthesia  
VSUR 253,Advanced Equine Surgery  
VSUR 256,Advanced Ruminant Surgery  
VSUR 291,Special Topics in Veterinary Surgery  
VSUR 299,Seminar in Veterinary Surgery  
VSUR 300,Master’s Thesis  
VTHE 251,Laboratory Animal Theriogenology  
VTHE 253,Advanced Equine Theriogenology  
VTHE 254,Advanced Porcine Theriogenology  
VTHE 256,Advanced Bovine and Bubaline Theriogenology  
VTHE 257,Advanced Ovine and Caprine Theriogenology  
VTHE 291,Special Topics in Theriogenology  
VTHE 299,Seminar in Theriogenology  
VTHE 300,Master’s Thesis  
WLDL 101,Introduction to Philippine Wildlife  
WLDL 105,Principles of Wildlife Management  
WLDL 155,Wildlife Ecology  
WLDL 195,Techniques of Wildlife Management  
WLDL 198,Field Practicum  
WLDL 205,Advanced Wildlife Management  
WLDL 258,Wildlife Population Dynamics  
WLDL 290,Special Problems  
WLDL 291,Special Topics  
WLDL 299,Graduate Seminar  
WLDL 300,Master’s Thesis  
WST 201,Tree Growth and Wood Quality  
WST 202,Wood Quality Evaluation  
WST 203,Wood Chemistry II  
WST 204,Wood and Bark Extractives  
WST 205,Paper Properties  
WST 211,Instrumentation for Research  
WST 212,Advanced Quality Control in Wood Processing  
WST 221,Wood Physics II  
WST 222,Elasticity of Wood and Wood-Based Materials  
WST 223,Strength Properties of Timber and Glued Wood Products  
WST 225,Wood Moisture Relations  
WST 241,Wood Machining II  
WST 260,Wood resins Relations  
WST 262,Advanced Wood Preservation  
WST 270,Advanced Kiln Drying  
WST 282,Analysis of Decision Alternatives  
WST 290,Special Problems  
WST 299,Graduate Seminar  
WSTH 11,Social and Political Thought  
ZOO 1,General Zoology  
ZOO 11,Fundamentals of Zoology  
ZOO 113,Comparative Vertebrate Anatomy  
ZOO 115,Animal Histology  
ZOO 117,Developmental Zoology  
ZOO 120,Animal Physiology  
ZOO 122,Animal Behavior  
ZOO 140,Animal Taxonomy  
ZOO 142,Invertebrate Zoology  
ZOO 145,Herpetology  
ZOO 146,Ornithology  
ZOO 148,Mammalogy  
ZOO 149,Biology of Marine Mammals  
ZOO 150,Animal Ecology  
ZOO 151,Marine Zoology  
ZOO 152,Freshwater Zoology  
ZOO 155,General Limnology  
ZOO 160,General Malacology  
ZOO 170,Principles of Nematology  
ZOO 171,Phytonematology  
ZOO 173,Introduction to Parasitology  
ZOO 174,Vertebrate Parasitology  
ZOO 177,Vertebrate Pests  
ZOO 180,Ichthyology  
ZOO 185,Introduction to Aquaculture  
ZOO 190,Special Problems   
ZOO 191,Special Topics  
ZOO 2,General Zoology  
ZOO 225,Endocrinology  
ZOO 226,Physiology of Reproduction  
ZOO 242,Advanced Invertebrate Biology  
ZOO 253,Ecology of Animal Parasites  
ZOO 273,Advanced Animal Parasitology  
ZOO 290,Special Problems  
ZOO 291,Special Topics  
ZOO 299,Graduate Seminar in Zoology  
ZOO 3,Intermediate Zoology  
ZOO 300,Master’s Thesis  
ZOO 91,Zoological Techniques  
ZOTC 111,General Principles of Animal Production  
ZOTC 112,Principles of Animal Breeding  
ZOTC 113,Principles of Animal Nutrition  
ZOTC 114,Swine Production  
ZOTC 115,Ruminant Production  
ZOTC 116,Poultry Production  
ZOTC 117,Equine Production  
ZOTC 118,Processing of Meat and Milk and Utilization of Animal Products  
